6.26,2.30
5.52,1.28
6.15,0.76
5.94,1.54
6.30,1.01
6.41,3.41
5.49,0.53
4.92,0.55
5.47,0.39
5.68,0.99
5.97,2.50
5.54,0.41
6.54,0.43
5.86,1.39
7.73,3.56
5.87,0.25
5.16,1.23
6.14,3.18
5.62,3.05
6.17,1.88
6.14,4.17
6.39,2.94
6.01,2.22
5.59,-0.10
6.37,1.75
6.16,2.58
6.72,2.80
6.48,2.70
7.21,2.48
5.76,0.77
6.45,2.81
5.80,1.03
6.30,2.94
6.12,1.90
6.02,2.52
7.10,4.53
7.09,3.91
4.79,0.10
7.02,2.63
6.14,1.24
6.07,0.68
6.28,3.52
5.43,1.87
7.38,3.71
6.40,1.95
4.77,1.61
6.51,3.95
6.08,2.65
6.62,2.35
5.71,2.74
6.24,1.65
6.12,2.70
6.75,3.28
5.97,2.40
6.30,2.32
6.38,1.13
6.61,3.42
5.83,2.10
6.22,2.63
5.69,1.57
6.53,2.87
5.92,3.48
7.05,1.83
6.74,2.80
5.21,0.52
5.89,2.67
6.52,2.10
6.22,2.58
5.71,1.11
5.90,2.27
6.45,2.99
6.16,2.81
5.77,2.35
5.84,1.64
6.12,3.34
6.93,3.59
5.24,1.30
5.04,1.24
6.49,2.51
5.72,1.47
6.51,2.39
6.19,0.50
6.70,1.82
5.34,1.60
5.55,2.85
5.58,0.93
6.31,1.89
6.30,3.06
5.54,1.02
6.19,1.86
6.64,2.78
4.89,1.30
5.83,1.59
6.32,1.85
7.20,3.69
6.86,2.75
4.93,0.33
6.54,3.00
5.38,-0.00
5.88,1.98
